Country/Territory,UN
Monaco,234317.0
Liechtenstein,169260.0
Luxembourg,133745.0
Bermuda,112653.0
Ireland,101109.0
Switzerland,93525.0
Norway,89242.0
Cayman Islands,85250.0
Singapore,66822.0
Qatar,66799.0
United States,69185.0
Isle of Man,
Iceland,69133.0
Denmark,68037.0
Faroe Islands,
Channel Islands,
Australia,66916.0
Netherlands,57871.0
San Marino,50425.0
Austria,53840.0
Greenland,58185.0
Sweden,60730.0
Finland,53703.0
Macau,43555.0
Belgium,51166.0
Canada,52112.0
Israel,54111.0
Germany,51073.0
Hong Kong,49259.0
United Arab Emirates,43295.0
British Virgin Islands,49444.0
United Kingdom,46542.0
New Zealand,48824.0
France,44229.0
Andorra,42066.0
European Union[n 1],31875.0
US Virgin Islands,
Malta,33642.0
Italy,35579.0
Puerto Rico,32716.0
New Caledonia,34994.0
Sint Maarten (Dutch part),26199.0
Guam,
Aruba,29342.0
Cyprus,32281.0
Brunei,31449.0
Bahamas,27478.0
Japan,39650.0
South Korea,34940.0
Spain,30058.0
Saudi Arabia,23186.0
Slovenia,29135.0
Taiwan,
Kuwait,32150.0
Estonia,27991.0
Czech Republic,26809.0
Lithuania,23844.0
Bahrain,26563.0
Portugal,24651.0
Latvia,21267.0
Slovakia,21390.0
Greece,20571.0
Poland,17736.0
Saint Martin (French part),
Barbados,17225.0
Uruguay,17313.0
Oman,19509.0
Hungary,18728.0
Seychelles,12085.0
Croatia,16983.0
Guyana,9999.0
Turks and Caicos Islands,20909.0
French Polynesia,19915.0
Trinidad and Tobago,16033.0
Cook Islands,19264.0
Anguilla,19216.0
Antigua and Barbuda,15246.0
Panama,14618.0
Romania,14698.0
Saint Kitts and Nevis,18083.0
Curaçao,14183.0
Maldives,10366.0
Northern Mariana Islands,
Chile,16265.0
Costa Rica,12472.0
Montserrat,16199.0
Bulgaria,12207.0
American Samoa,
Palau,12084.0
Mexico,10046.0
Saint Lucia,9824.0
Turkey,9661.0
World,12230.0
Argentina,10761.0
Malaysia,11101.0
Russia,12259.0
Kazakhstan,10055.0
Turkmenistan,8508.0
China,12437.0
Nauru,12390.0
Mauritius,8873.0
Grenada,8950.0
Montenegro,9252.0
Serbia,8643.0
Cuba,11255.0
Dominican Republic,8477.0
Brazil,7507.0
Saint Vincent and the Grenadines,8440.0
Dominica,7571.0
Gabon,7911.0
Armenia,4967.0
Georgia,4975.0
Albania,6396.0
Bosnia and Herzegovina,7143.0
Botswana,6805.0
North Macedonia,6600.0
Peru,6622.0
Azerbaijan,5296.0
Belarus,7121.0
Thailand,7067.0
Belize,6229.0
Colombia,6104.0
Jamaica,5184.0
Equatorial Guinea,7605.0
Ecuador,5965.0
Moldova,4468.0
South Africa,7055.0
Marshall Islands,6111.0
Fiji,4647.0
Kosovo,5663.0
Iraq,4686.0
Libya,5791.0
Paraguay,6035.0
Tuvalu,5370.0
Suriname,5259.0
El Salvador,4551.0
Tonga,4451.0
Guatemala,4883.0
Mongolia,4510.0
Ukraine,4596.0
Indonesia,4333.0
Algeria,3700.0
Jordan,4058.0
Namibia,4836.0
Samoa,3919.0
Cape Verde,3293.0
Micronesia,3573.0
Vietnam,3756.0
Iran,6766.0
Tunisia,3807.0
Eswatini,3969.0
Morocco,3853.0
Philippines,3461.0
Bolivia,3345.0
Palestine,3514.0
Egypt,3898.0
Djibouti,3348.0
Bhutan,3063.0
Vanuatu,3073.0
Venezuela,3965.0
Sri Lanka,3918.0
Lebanon,6785.0
Honduras,2772.0
São Tomé and Príncipe,2486.0
Congo,2200.0
Ivory Coast,2539.0
Bangladesh,2450.0
India,2274.0
Nicaragua,2046.0
Papua New Guinea,2673.0
Angola,2258.0
Uzbekistan,2032.0
Mauritania,2166.0
Ghana,2409.0
Solomon Islands,2306.0
Kenya,2082.0
Haiti,1664.0
Zimbabwe,1508.0
Kiribati,1765.0
Cambodia,1608.0
Laos,2569.0
Kyrgyzstan,1339.0
Nigeria,2019.0
Cameroon,1668.0
Senegal,1637.0
Guinea,1185.0
Timor-Leste,1517.0
Zambia,1095.0
Ethiopia,825.0
Pakistan,1480.0
Benin,1361.0
Myanmar,1089.0
Comoros,1631.0
Nepal,1159.0
Tanzania,1136.0
Zanzibar,1211.0
Tajikistan,897.0
Uganda,930.0
Lesotho,1040.0
Rwanda,822.0
Guinea-Bissau,759.0
Togo,944.0
Syria,925.0
Mali,875.0
Gambia,772.0
Burkina Faso,893.0
Liberia,471.0
Somalia,447.0
Chad,955.0
DR Congo,551.0
North Korea,654.0
Mozambique,492.0
Niger,591.0
Eritrea,623.0
Yemen,302.0
Malawi,613.0
Central African Republic,461.0
Sudan,786.0
Madagascar,500.0
South Sudan,400.0
Sierra Leone,505.0
Afghanistan,373.0
Burundi,311.0
