Country,Gini Ratio
Albania,30.8
Algeria,27.6
Angola,51.3
Argentina,42.3
Armenia,25.2
Australia,34.3
Austria,26.7
Azerbaijan,33.7
Bangladesh,49.9
Belarus,24.4
Belgium,24.9
Belize,49.8
Benin,37.8
Bhutan,37.4
Bolivia,43.6
Bosnia and Herzegovina,32.7
Botswana,53.3
Brazil,48.9
Bulgaria,40.3
Burkina Faso,38.9
Burundi,38.6
Cambodia,36.0
Cameroon,46.6
Canada,30.3
Cape Verde,42.4
Central African Republic,56.2
Chad,37.5
Chile,46.0
China,38.2
Colombia,54.2
Comoros,45.3
DR Congo,42.1
Congo,48.9
Costa Rica,49.3
Ivory Coast,37.2
Croatia,28.9
Cyprus,29.4
Czech Republic,24.1
Denmark,27.0
Djibouti,41.6
Dominican Republic,39.6
Ecuador,47.3
Egypt,31.5
El Salvador,38.8
Estonia,30.6
Eswatini,54.6
Ethiopia,35.0
European Union,30.6
Faroe Islands,22.71
Fiji,30.7
Finland,25.7
France,29.3
Gabon,38.0
Gambia,35.9
Georgia,34.3
Germany,29.7
Ghana,43.5
Greece,33.1
Guatemala,48.3
Guinea,29.6
Guinea-Bissau,34.8
Guyana,44.6
Haiti,41.1
Honduras,48.2
Hong Kong,53.9
Hungary,28.3
Iceland,23.2
India,35.7
Indonesia,37.9
Iran,40.9
Iraq,29.5
Ireland,26.9
Israel,38.6
Italy,35.2
Jamaica,35.0
Japan,33.4
Jordan,35.4
Kazakhstan,27.8
Kenya,40.8
South Korea,34.5
Kosovo,29.0
Kyrgyzstan,29.0
Laos,38.8
Latvia,35.7
Lebanon,31.8
Lesotho,44.9
Liberia,35.3
Lithuania,35.1
Luxembourg,34.2
Macau,36.0
North Macedonia,30.7
Madagascar,42.6
Malawi,38.5
Malaysia,41.2
Maldives,29.3
Mali,36.1
Malta,31.0
Mauritania,32.6
Mauritius,36.8
Mexico,45.4
Micronesia,40.1
Moldova,26.0
Mongolia,32.7
Montenegro,32.9
Morocco,39.5
Mozambique,54.0
Myanmar,30.7
Namibia,59.1
Nepal,32.8
Netherlands,26.4
New Zealand,33.9
Nicaragua,46.2
Niger,37.3
Nigeria,35.1
Norway,25.3
Pakistan,29.6
Panama,49.8
Papua New Guinea,41.9
Paraguay,43.5
Peru,43.8
Philippines,41.2
Poland,27.2
Portugal,31.2
Qatar,41.1
Romania,34.8
Russia,36.0
Rwanda,43.7
São Tomé and Príncipe,40.7
Saudi Arabia,45.9
Senegal,38.1
Serbia,34.5
Seychelles,32.1
Sierra Leone,35.7
Singapore,45.9
Slovakia,23.2
Slovenia,23.5
Somalia,36.8
South Africa,63.0
South Sudan,44.1
Spain,33.0
Sri Lanka,39.3
Saint Lucia,51.2
Sudan,34.2
Suriname,57.9
Sweden,26.8
Switzerland,33.1
Syria,55.8
Taiwan,34.1
Tajikistan,34.0
Tanzania,40.5
Thailand,35.0
East Timor,28.7
Togo,42.4
Trinidad and Tobago,39.0
Tunisia,35.8
Turkey,41.9
Turkmenistan,40.8
Uganda,42.7
Ukraine,25.6
United Arab Emirates,26.0
United Kingdom,36.6
United States,39.4
Uruguay,31.1
Uzbekistan,36.7
Venezuela,44.8
Vietnam,35.7
Yemen,36.7
Zambia,57.1
Zimbabwe,50.3
World,
