Country,Scientific publications per capita (per million)
Afghanistan,9
Albania,216
Algeria,176
American Samoa,282
Andorra,453
Angola,5
Anguilla,867
Antigua and Barbuda,232
Argentina,341
Armenia,396
Aruba,198
Australia,4109
Austria,3044
Azerbaijan,174
Bahamas,219
Bahrain,710
Bangladesh,48
Barbados,542
Belarus,272
Belgium,2976
Belize,114
Benin,50
Bermuda,1218
Bhutan,265
Bolivia,38
Bosnia and Herzegovina,474
Botswana,332
Brazil,416
British Indian Ocean Territory,1000
Brunei Darussalam,1584
Bulgaria,956
Burkina Faso,30
Burundi,9
Cabo Verde,119
Cambodia,34
Cameroon,86
Canada,3184
Cayman Islands,410
Central African Republic,12
Chad,4
Chile,871
China,527
Colombia,296
Comoros,24
Congo,68
"Congo, The Democratic Republic of the",5
Cook Islands,521
Costa Rica,279
Croatia,2010
Cuba,187
Cyprus,4087
Czechia,2358
Côte d'Ivoire,23
Denmark,5110
Djibouti,36
Dominica,292
Dominican Republic,33
Ecuador,308
Egypt,298
El Salvador,16
Equatorial Guinea,9
Eritrea,20
Estonia,2865
Eswatini,125
Ethiopia,52
Falkland Islands (Malvinas),5000
Faroe Islands,1378
Fiji,522
Finland,3948
France,1664
French Guiana,442
French Polynesia,600
Gabon,85
Gambia,92
Georgia,511
Germany,2097
Ghana,136
Gibraltar,353
Greece,1884
Greenland,2048
Grenada,2212
Guadeloupe,187
Guam,494
Guatemala,24
Guinea,11
Guinea-Bissau,35
Guyana,91
Haiti,11
Holy See (Vatican City State),6061
Honduras,37
Hong Kong,3273
Hungary,1250
Iceland,4622
India,138
Indonesia,181
"Iran, Islamic Republic of",863
Iraq,454
Ireland,3309
Israel,2402
Italy,2159
Jamaica,175
Japan,1016
Jordan,587
Kazakhstan,279
Kenya,86
Kiribati,141
Kuwait,502
Kyrgyzstan,76
Lao People's Democratic Republic,42
Latvia,1349
Lebanon,628
Lesotho,46
Liberia,15
Libya,97
Liechtenstein,3193
Lithuania,1667
Luxembourg,3554
Macao,3736
Madagascar,15
Malawi,50
Malaysia,1135
Maldives,238
Mali,16
Malta,1974
Marshall Islands,128
Martinique,155
Mauritania,20
Mauritius,356
Mayotte,43
Mexico,231
"Micronesia, Federated States of",284
Moldova,211
Monaco,6050
Mongolia,194
Montenegro,1006
Montserrat,800
Morocco,259
Mozambique,20
Myanmar,18
Namibia,205
Nauru,254
Nepal,84
Netherlands,3534
New Caledonia,676
New Zealand,3286
Nicaragua,21
Niger,8
Nigeria,63
North Korea,9
North Macedonia,540
Northern Mariana Islands,232
Norway,4654
Oman,562
Pakistan,127
Palau,1169
"Palestine, State of",230
Panama,182
Papua New Guinea,25
Paraguay,55
Peru,164
Philippines,51
Poland,1364
Portugal,2821
Puerto Rico,265
Qatar,1815
Romania,810
Russian Federation,819
Rwanda,55
Réunion,66
"Saint Helena, Ascension and Tristan da Cunha",667
Saint Kitts and Nevis,2241
Saint Lucia,78
Saint Pierre and Miquelon,167
Saint Vincent and the Grenadines,280
Samoa,350
San Marino,1484
Sao Tome and Principe,42
Saudi Arabia,1037
Senegal,54
Serbia,1158
Seychelles,1119
Sierra Leone,25
Singapore,4232
Slovakia,1597
Slovenia,3228
Solomon Islands,85
Somalia,6
South Africa,472
South Korea,1762
South Sudan,3
Spain,2202
Sri Lanka,128
Sudan,27
Suriname,100
Svalbard and Jan Mayen,1021
Sweden,4141
Switzerland,5461
Syrian Arab Republic,40
Taiwan,1677
Tajikistan,34
Tanzania,37
Thailand,312
Timor-Leste,31
Togo,28
Tokelau,666
Tonga,301
Trinidad and Tobago,320
Tunisia,710
Turkey,635
Turkmenistan,2
Turks and Caicos Islands,247
Tuvalu,187
Uganda,53
Ukraine,434
United Arab Emirates,1061
United Kingdom,2959
United States,1875
Uruguay,535
Uzbekistan,99
Vanuatu,173
Venezuela,49
Vietnam,177
"Virgin Islands, British",200
"Virgin Islands, U.S.",149
Wallis and Futuna,264
Yemen,35
Zambia,44
Zimbabwe,71
