Country,Victims-per-100000-habitants
Afghanistan,1613
Albania,66
Algeria,695
American Samoa,0
Andorra,2
Angola,1196
Anguilla,4
Antigua and Barbuda,16
Argentina,2093
Armenia,61
Aruba,2
Australia,193
Austria,65
Azerbaijan,197
Bahamas,119
Bahrain,1
Bangladesh,3830
Barbados,32
Belarus,225
Belgium,125
Belize,125
Bermuda,7
Bhutan,19
Bolivia,422
Bosnia and Herzegovina,32
Botswana,273
Brazil,47722
British Virgin Islands,2
Brunei,2
Bulgaria,88
Burundi,635
Cape Verde,36
Cambodia,268
Cameroon,1202
Canada,788
Cayman Islands,3
Chile,708
China,7157
Colombia,14159
Cook Islands,1
Costa Rica,588
Croatia,33
Cuba,500
Curaçao,26
Cyprus,16
Czech Republic,47
Denmark,47
Dominica,10
Dominican Republic,1172
Ecuador,2496
East Timor,49
Egypt,1360
El Salvador,1147
Eritrea,474
Estonia,26
Eswatini,151
Ethiopia,8153
Fiji,20
Finland,91
France,734
French Guiana,39
French Polynesia,1
Georgia,77
Germany,695
Ghana,603
Gibraltar,1
Greece,89
Greenland,3
Grenada,5
Guadeloupe,23
Guam,7
Guatemala,3520
Guinea-Bissau,21
Guyana,131
Haiti,1489
Holy See,0
Honduras,3931
Hong Kong,23
Hungary,75
Iceland,2
India,41330
Indonesia,1419
Iran,1936
Iraq,3339
Iraq. Central Iraq,5459
,111
Ireland,22
Isle of Man,0
Israel,173
Italy,303
Jamaica,1474
Japan,285
Jordan,114
Kazakhstan,606
Kenya,2796
Kiribati,8
Kosovo,33
Kuwait,11
Latvia,57
Lebanon,128
Lesotho,752
Liberia,135
Liechtenstein,2
Lithuania,72
Luxembourg,4
Macau,3
Malawi,279
Malaysia,243
Maldives,3
Malta,2
Marshall Islands,2
Martinique,11
Mauritania,46
Mauritius,34
Mayotte,12
Mexico,35700
Micronesia,1
Monaco,0
Mongolia,206
Montenegro,15
Montserrat,0
Morocco,716
Mozambique,849
Myanmar,15299
Namibia,315
Nepal,659
Netherlands,114
New Caledonia,8
New Zealand,129
Nicaragua,754
Niger,788
Nigeria,44200
North Macedonia,24
Northern Ireland,21
Norway,29
Oman,11
Pakistan,9207
Palau,2
Palestine,45
Panama,550
Papua New Guinea,713
Paraguay,525
Peru,1903
Philippines,4764
Poland,273
Portugal,82
Puerto Rico,556
Qatar,9
South Korea,270
Moldova,93
Réunion,15
Romania,244
Russia,9866
Rwanda,472
Saint Helena,0
Saint Kitts and Nevis,14
Saint Lucia,70
Saint Martin,10
Saint Pierre and Miquelon,1
Saint Vincent and the Grenadines,32
Samoa,13
San Marino,0
São Tomé and Príncipe,6
Saudi Arabia,285
Scotland,58
Senegal,39
Serbia,77
Seychelles,5
Sierra Leone,176
Singapore,6
Slovakia,55
Slovenia,9
Solomon Islands,19
South Africa,24865
South Sudan,1504
Spain,290
Sri Lanka,742
Suriname,35
Sweden,113
Switzerland,42
Syria,463
Tajikistan,87
Tanzania,2286
Thailand,3307
Tonga,1
Trinidad and Tobago,448
Tunisia,562
Turkey,2136
Turkmenistan,63
Turks and Caicos Islands,2
Tuvalu,0
Uganda,3912
Ukraine,1673
United Arab Emirates,44
United Kingdom . England and Wales,696
United Kingdom . Great Britain and Northern Ireland,673
United States,22941
U.S. Virgin Islands,52
Uruguay,305
Uzbekistan,479
Vanuatu,1
Venezuela,5444
Vietnam,1358
Yemen,1703
Zambia,853
Zimbabwe,982
