Country,Average yearly temperature (Celsius)
Afghanistan,12.6
Albania,11.4
Algeria,22.5
Andorra,7.6
Angola,21.55
Antigua and Barbuda,25.85
Argentina,14.8
Armenia,7.15
Australia,21.65
Austria,6.35
Azerbaijan,11.95
Bahamas,24.85
Bahrain,26.8
Bangladesh,25
Barbados,26
Belarus,6.15
Belgium,9.55
Belize,25.35
Benin,27.55
Bhutan,7.4
Bolivia,21.55
Bosnia and Herzegovina,9.85
Botswana,21.5
Brazil,24.95
Brunei Darussalam,26.85
Bulgaria,10.55
Burkina Faso,28.29
Burundi,19.8
Cabo Verde,23.3
Cambodia,26.8
Cameroon,24.6
Canada,−5.10
Central African Republic,24.9
Chad,26.55
Chile,8.45
China,7.5
Colombia,24.5
Comoros,25.3
Congo,24.55
"Congo, The Democratic Republic of the",24
Costa Rica,24.8
Croatia,10.9
Cuba,25.2
Cyprus,18.45
Czechia,7.55
Côte d'Ivoire,26.35
Denmark,6.95
Djibouti,28
Dominica,22.35
Dominican Republic,24.55
Ecuador,21.85
Egypt,22.1
El Salvador,24.45
Equatorial Guinea,24.55
Eritrea,25.5
Estonia,2
Eswatini,21.4
Ethiopia,22.2
Fiji,24.4
Finland,1.55
France,10.7
Gabon,25.05
Gambia,27.5
Georgia,5.65
Germany,8.4
Ghana,27.2
Greece,15.4
Grenada,26
Guatemala,23.45
Guinea,25.7
Guinea-Bissau,26.75
Guyana,26
Haiti,24.9
Honduras,23.5
Hong Kong,21.45
Hungary,9.75
Iceland,−0.70
India,23.65
Indonesia,25.85
"Iran, Islamic Republic of",17.25
Iraq,21.4
Ireland,9.3
Israel,19.2
Italy,13.45
Jamaica,24.95
Japan,11.15
Jordan,18.3
Kazakhstan,5.5
Kenya,24.75
Kiribati,28.2
Kuwait,27.15
Kyrgyzstan,2.1
Lao People's Democratic Republic,22.8
Latvia,5.6
Lebanon,15
Lesotho,11.85
Liberia,25.3
Libya,21.8
Liechtenstein,5.8
Lithuania,6.2
Luxembourg,8.65
Madagascar,22.65
Malawi,21.9
Malaysia,25.4
Maldives,28
Mali,28.25
Malta,19.2
Marshall Islands,27.4
Mauritania,27.65
Mauritius,22.4
Mexico,21
"Micronesia, Federated States of",25.85
Moldova,9.45
Monaco,13.55
Mongolia,1.7
Montenegro,10.55
Morocco,17.1
Mozambique,23.8
Myanmar,13.05
Namibia,19.95
Nepal,8.1
Netherlands,9.25
New Zealand,19.53
Nicaragua,24.9
Niger,27.15
Nigeria,27
North Korea,5.7
North Macedonia,9.8
Norway,1.5
Oman,25.6
Pakistan,20.2
Palau,27.6
Panama,25.4
Papua New Guinea,25.25
Paraguay,23.55
Peru,19.6
Philippines,25.55
Poland,7.85
Portugal,15.15
Qatar,27.15
Romania,8.8
Russian Federation,−5.35
Rwanda,17.85
Saint Kitts and Nevis,24.5
Saint Lucia,25.5
Saint Vincent and the Grenadines,26.8
Samoa,26.7
San Marino,11.85
Sao Tome and Principe,23.75
Saudi Arabia,24.65
Senegal,27.85
Serbia,10.55
Seychelles,27.15
Sierra Leone,26.05
Singapore,26.45
Slovakia,6.8
Slovenia,8.9
Solomon Islands,25.65
Somalia,27.05
South Africa,17.75
South Korea,11.5
Spain,13.3
Sri Lanka,26.95
Sudan,26.9
Suriname,25.7
Sweden,1.75
Switzerland,5.1
Syrian Arab Republic,17.75
Tajikistan,6.4
Tanzania,22.35
Thailand,26.3
Timor-Leste,25.25
Togo,27.15
Tonga,25.25
Trinidad and Tobago,25.75
Tunisia,19.2
Turkey,9.9
Turkmenistan,15.1
Tuvalu,27.65
Uganda,22.8
Ukraine,8.3
United Arab Emirates,26.65
United Kingdom,8.45
United States,8.55
Uruguay,17.55
Uzbekistan,12.05
Vanuatu,23.95
Venezuela,25.35
Vietnam,24.45
Yemen,23.85
Zambia,21.4
Zimbabwe,21
